Grinder,0,0-400,400-800,800-1200,1200-1600,1600,âˆž
"EK43 S @ 8",0,0.13,0.42,0.43,0.01,0.01,0
"EK43 S @ 10",0,0.12,0.30,0.51,0.06,0.01,0
"EK43 S @ 12",0,0.09,0.20,0.54,0.15,0.02,0
"EK43 S @ 14",0,0.07,0.13,0.43,0.30,0.06,0
"Kinu M47 @ 20",0,0.11,0.19,0.48,0.20,0.01,0
"Vario @ 5M",0,0.10,0.25,0.52,0.10,0.02,0
"Porlex @ 10",0,0.22,0.30,0.28,0.14,0.07,0
"Porlex @ 12",0,0.13,0.22,0.28,0.19,0.17,0
"Feldgrind v1 @ 2+6",0,0.11,0.27,0.43,0.15,0.05,0
"Swan SF16020N",0,0.11,0.23,0.28,0.17,0.21,0
"Lido E @ 22",0,0.09,0.18,0.41,0.25,0.06,0
